FIPS,State,County,perc_Adults_Obesity,95_Cl_low_obs,95_Cl_high_obs,Avg_num_Physical_Unhealthy_Days,Avg_num_Mental_Unhealthy_Days,Food_Environment_Index,perc_Physically_Inactive,perc_With_Access_Exercise,num_Uninsured,perc_Uninsured,num_Primary_Care_Physicians,Primary_Care_Physicians_Rate,Primary_Care_Physicians_Ratio,num_Dentists,Dentist_Rate,Dentist_Ratio,num_Mental_Health_Providers,Mental_Health_Provider_Rate,Mental_Health_Provider_Ratio,num_Completed_High_School,Population_Age25,perc_Completed_HighSchool,num_Some_College,Population_25_Age_44,perc_Some_college,num_UnemployedAge16,LaborForce_Size,perc_Unemployed,80th_Percentile_Income,20th_Percentile_Income,Income_Ratio,num_Children_SingleParent_Households,num_Children_Overall_Households,perc_Children_SingleParent_Households,num_Associations,Social_Association_Rate,perc_Severe_Housing_Problems,Severe_Housing_Cost_Burdenperc,Overcrowdingperc,Inadequate_Facilitiesperc,num_Food_Insecure,perc_Food_Insecure,num_LimitedAccess_healthyFood,perc_LimitedAccess_HealthyFoods,perc_Adults_Diabetes,95_CI_Low_Adults_Diabetes,95_CI_High_Adults_Diabetes,perc_Insufficient_Sleep,num_Uninsured,perc_Uninsured,Median_Household_Income,95_CI_Low_Median_Household_Income,95_CI_High_Median_Household_Income,Household_Income_NativeAmerican,Household_Income_Asian,Household_Income_Black,Household_Income_Hispanic,Household_Income_white,num_Homeowners,perc_Homeowners,num_Household_Severe_Cost_Burden,perc_Severe_Housing_Cost_Burden,Population,perc_greater18Age,perc65greaterAge,numBlack,percBlack,numNativeAmerican,percNativeAmerican,numAsian,percAsian,numNativeHawaiianPacificIslander,percNativeHawaiianPacificIslander,numHispanic,percHispanic, numNonHispanic_white,percNonHispanic_white,numNotProficient_English,percNotProficient_English,percfemale,numrural_residents,percrural
48019,Texas,Bandera,35,34,37,4.0,4.5,6.7,29,59,3371,21,5,22,4622:1,6,25,3977:1,28,117,852:1,15667,17461,90,2236,3783,59,574,9835,5.8,113053,25518,4.4,1187,3805,31,22,9.5,11,7,3,1,3540,16,2097,10,11,10,12,35,2831,22,64389,56505,72273,69216,,41875,56008,62526,7540,87,751,9,23861,16.6,29.0,253,1.1,325,1.4,137,0.6,11,0.0,4817,20.2,18193,76.2,480,2,50.5,20485,100.0
48021,Texas,Bastrop,40,38,41,4.1,4.4,7.9,32,46,16504,23,24,27,3697:1,29,32,3159:1,58,63,1579:1,47448,57064,83,10873,20843,52,2557,42573,6.0,125545,30478,4.1,4948,22133,22,61,6.9,16,9,5,3,10230,12,4125,6,12,12,13,37,13274,26,74612,68290,80934,32202,82721,55725,65536,74610,20557,79,2739,11,91601,25.4,15.8,5948,6.5,1889,2.1,870,0.9,156,0.2,37395,40.8,45744,49.9,3466,4,49.1,47360,63.9
48023,Texas,Baylor,35,34,36,4.0,4.7,7.5,29,85,432,16,5,142,702:1,1,28,3518:1,,,,2209,2527,87,339,682,50,62,1767,3.5,83857,16978,4.9,146,796,18,5,14.2,6,5,0,1,580,16,54,1,10,10,11,36,332,18,44392,36172,52612,,,,,,1196,74,70,5,3518,22.8,24.5,76,2.2,35,1.0,16,0.5,3,0.1,516,14.7,2818,80.1,0,0,50.9,3726,100.0
48025,Texas,Bee,42,41,44,4.6,4.4,6.5,37,46,3847,19,7,21,4652:1,9,28,3613:1,14,43,2322:1,17601,22226,79,4656,10647,44,974,9906,9.8,91403,18274,5.0,1883,6874,27,15,4.6,21,15,6,2,5400,17,3435,11,16,15,17,39,3230,23,46316,38389,54243,,,55298,41079,51448,5503,65,1093,14,32513,20.7,13.1,2676,8.2,303,0.9,228,0.7,33,0.1,19410,59.7,9888,30.4,729,2,39.2,13693,43.0
48027,Texas,Bell,39,38,40,4.0,4.4,6.8,30,79,51972,17,280,77,1296:1,311,84,1189:1,886,240,418:1,197051,216686,91,73209,105647,69,10099,144558,7.0,104538,24926,4.2,29377,98377,30,302,8.3,15,12,4,1,52720,15,33023,11,13,12,13,38,42796,20,53639,48931,58347,49432,53882,46377,47994,63896,67893,54,15401,13,369927,27.4,11.5,82784,22.4,4104,1.1,11805,3.2,3227,0.9,95954,25.9,162509,43.9,7447,2,50.3,47113,15.2
48029,Texas,Bexar,36,35,37,4.0,4.1,7.2,29,87,327450,19,1531,76,1309:1,1830,90,1108:1,4095,202,495:1,1072136,1269771,84,368513,585088,63,71110,942127,7.5,115285,24725,4.7,153204,504023,30,1139,5.7,18,14,4,1,270950,14,166124,10,14,13,15,37,283088,23,60477,58269,62685,48697,75371,47415,50930,74005,377055,58,91510,15,2026823,25.1,12.6,151648,7.5,25348,1.3,68260,3.4,4850,0.2,1235179,60.9,539480,26.6,106829,6,50.6,77835,4.5
48031,Texas,Blanco,35,33,36,3.8,4.4,8.2,27,34,1937,22,5,42,2386:1,4,33,3067:1,4,33,3067:1,8171,8919,92,1288,2290,56,251,6573,3.8,122750,28287,4.3,430,2079,21,12,10.1,13,9,4,1,1500,13,100,1,10,10,11,35,1500,22,66383,54886,77880,79500,,,72727,70966,3643,78,375,8,12269,17.2,26.2,145,1.2,158,1.3,107,0.9,12,0.1,2492,20.3,9317,75.9,174,2,50.0,10497,100.0
48033,Texas,Borden,32,31,34,3.2,4.0,6.8,22,1,60,12,0,0,654:0,0,0,706:0,0,0,706:0,405,434,93,115,144,80,14,430,3.3,136938,38000,3.6,16,213,8,0,0.0,5,2,2,2,80,13,97,15,9,8,10,33,45,13,69499,56489,82509,,,,66250,83750,155,70,,,706,20.3,25.8,6,0.8,5,0.7,1,0.1,0,0.0,125,17.7,561,79.5,10,2,47.7,641,100.0
48035,Texas,Bosque,36,34,37,4.3,4.8,6.6,31,24,3173,23,10,54,1869:1,7,38,2658:1,4,22,4651:1,11689,13234,88,2036,3670,55,454,8330,5.5,106042,26847,3.9,766,3892,20,28,15.0,13,9,4,1,3010,17,1774,10,12,11,12,36,2576,26,58056,51310,64802,,,35568,49984,58546,5524,76,543,8,18603,20.7,25.6,327,1.8,177,1.0,126,0.7,13,0.1,3596,19.3,14245,76.6,390,2,50.9,14791,81.2
48037,Texas,Bowie,37,36,39,4.3,4.9,6.7,31,38,12418,17,67,72,1392:1,55,59,1700:1,101,108,926:1,56896,63575,89,13638,24865,55,2864,38755,7.4,104363,18727,5.6,8398,22137,38,120,12.9,16,12,3,1,15100,16,8785,9,12,12,13,39,10551,21,50326,43162,57490,71786,96392,33926,64375,57457,21929,64,3856,12,93481,23.5,17.3,23507,25.1,1035,1.1,1193,1.3,107,0.1,7547,8.1,58566,62.7,946,1,49.8,32791,35.4
48039,Texas,Brazoria,39,37,40,3.6,4.0,8.0,29,79,52277,16,240,64,1559:1,209,55,1821:1,306,80,1244:1,214038,240923,89,71432,105953,67,15267,177709,8.6,153477,36375,4.2,18148,96666,19,244,6.5,13,9,4,1,41090,11,20853,7,12,11,13,37,42806,19,83576,78214,88938,56390,98348,90435,73743,86236,91024,73,11556,10,380518,25.9,12.5,56616,14.9,3366,0.9,27441,7.2,400,0.1,121130,31.8,168420,44.3,11027,3,49.5,70552,22.5
48041,Texas,Brazos,34,33,35,4.1,4.4,6.6,28,89,33871,18,195,85,1175:1,127,55,1831:1,264,114,881:1,107359,121611,88,43939,61535,71,6233,116599,5.3,110939,18366,6.0,13928,46475,30,181,7.9,25,22,3,1,34500,16,24093,12,13,12,13,35,28997,20,53570,47492,59648,78409,49107,35710,41670,59400,38290,47,17693,23,232555,20.6,9.9,25085,10.8,1626,0.7,14200,6.1,282,0.1,61658,26.5,127386,54.8,8255,4,49.7,23506,12.1
48043,Texas,Brewster,36,34,37,3.8,4.0,6.2,29,64,1462,21,8,87,1150:1,3,32,3079:1,12,130,770:1,5818,6850,85,1524,2393,64,272,4083,6.7,94835,15127,6.3,226,1772,13,13,14.1,17,11,3,4,1440,16,1507,16,12,11,13,35,1232,23,48537,39271,57803,,39600,,42198,47321,2507,58,660,17,9237,18.4,24.1,136,1.5,169,1.8,172,1.9,13,0.1,4156,45.0,4602,49.8,266,3,48.9,3219,34.9
48045,Texas,Briscoe,40,38,41,4.7,4.9,2.9,34,29,274,24,1,65,1546:1,0,0,1487:0,,,,869,1017,85,144,322,45,27,567,4.8,90583,18644,4.9,35,225,16,3,19.4,8,5,2,1,230,16,793,48,13,12,14,37,213,25,50062,40791,59333,,,,34583,49722,420,71,83,15,1487,20.7,26.0,52,3.5,13,0.9,4,0.3,0,0.0,373,25.1,1017,68.4,57,4,49.8,1637,100.0
48047,Texas,Brooks,44,42,46,5.5,4.8,5.5,44,35,1048,19,,,,1,14,6964:1,2,29,3482:1,2991,4460,67,726,1809,40,278,2601,10.7,65132,7572,8.6,689,1662,41,4,5.6,25,17,6,2,1570,22,733,10,20,18,21,38,897,24,33513,27166,39860,,,,24023,30164,1487,60,313,15,6964,27.8,18.6,44,0.6,54,0.8,84,1.2,3,0.0,6343,91.1,471,6.8,563,8,49.0,2294,31.8
48049,Texas,Brown,36,35,37,4.2,4.7,6.6,30,49,5812,20,22,58,1721:1,16,43,2352:1,71,189,530:1,22773,26168,87,4705,8826,53,992,15245,6.5,97711,22139,4.4,1941,8082,24,65,17.2,11,9,2,1,5670,15,5062,13,12,11,12,36,4805,23,48752,42609,54895,,,,40837,51050,10449,71,1206,9,37633,20.9,21.0,1377,3.7,382,1.0,291,0.8,32,0.1,8691,23.1,26572,70.6,682,2,50.5,15395,40.4
48051,Texas,Burleson,36,35,37,4.2,4.6,7.6,31,38,2943,20,8,43,2305:1,1,5,18514:1,1,5,18514:1,10672,12685,84,1984,3845,52,519,8180,6.3,115686,30251,3.8,538,4002,13,20,10.8,13,8,5,1,2470,14,923,5,12,11,12,37,2376,23,64836,57552,72120,,,30750,52813,71776,5386,78,516,8,18514,21.6,21.7,2213,12.0,217,1.2,99,0.5,7,0.0,3957,21.4,11911,64.3,599,3,50.6,13175,76.7
48053,Texas,Burnet,37,35,38,3.9,4.4,7.5,29,51,7566,21,19,39,2534:1,23,46,2159:1,35,70,1419:1,29779,33684,88,4914,10041,49,1119,23686,4.7,116108,32076,3.6,1733,9980,17,58,12.0,14,9,3,3,6430,14,2905,7,11,10,11,35,6204,24,63813,53386,74240,53365,,50492,47979,62810,13704,79,1620,10,49653,20.7,23.3,840,1.7,635,1.3,482,1.0,46,0.1,11148,22.5,36366,73.2,1189,3,51.1,23800,55.7
48055,Texas,Caldwell,39,37,40,4.6,4.6,7.3,36,45,9102,26,12,27,3639:1,13,30,3383:1,35,80,1257:1,22023,27627,80,4557,10967,42,1226,19322,6.3,105089,25485,4.1,2340,9778,24,39,8.9,20,13,7,1,6230,15,2620,7,15,14,15,37,7718,30,66128,58953,73303,,,50718,58709,61949,9474,69,1701,13,43979,22.8,15.2,2446,5.6,759,1.7,471,1.1,49,0.1,23970,54.5,16539,37.6,2399,6,49.3,16099,42.3
48057,Texas,Calhoun,40,38,41,4.4,4.4,5.3,36,54,3480,20,11,52,1935:1,10,48,2100:1,5,24,4200:1,11598,14334,81,2532,5093,50,699,11995,5.8,104148,28480,3.7,1267,5197,24,21,9.9,18,8,8,2,3050,14,6054,28,14,13,15,37,2807,23,58470,48317,68623,,104583,,48172,63318,5917,74,424,6,21001,23.8,18.9,485,2.3,182,0.9,1165,5.5,13,0.1,10451,49.8,8682,41.3,1133,6,48.7,9564,44.7
48059,Texas,Callahan,36,35,38,4.1,4.8,7.0,28,42,2016,18,1,7,13943:1,4,28,3528:1,2,14,7055:1,8839,9976,89,1810,3176,57,325,5979,5.4,95485,24310,3.9,639,3062,21,15,10.8,13,10,2,1,2080,15,1222,9,10,10,11,36,1677,21,54862,46487,63237,,,35396,43077,52321,4481,83,315,6,14110,21.2,21.8,209,1.5,127,0.9,98,0.7,13,0.1,1422,10.1,12060,85.5,127,1,50.7,9776,72.2
48061,Texas,Cameron,42,41,44,5.2,4.6,5.6,38,66,109621,31,210,50,2015:1,137,32,3096:1,301,71,1409:1,170501,248705,69,50350,103368,49,17219,169074,10.2,85416,16089,5.3,43250,127450,34,209,4.9,23,14,11,1,73730,18,72825,18,18,17,20,39,93505,40,44440,41059,47821,29192,89886,50337,39019,57232,84054,66,16766,14,424180,29.5,14.2,1735,0.4,2865,0.7,3408,0.8,326,0.1,382150,90.1,35937,8.5,62153,16,51.1,34207,8.4
48063,Texas,Camp,39,38,40,4.3,4.7,7.2,32,35,2279,22,11,84,1190:1,5,38,2612:1,5,38,2612:1,7409,8446,88,1741,2862,61,369,5008,7.4,91130,16267,5.6,1014,3395,30,12,9.2,18,13,5,2,2080,16,613,5,13,12,13,38,1813,25,43130,35970,50290,,,26250,59750,55084,3208,72,637,15,13060,26.0,19.6,2013,15.4,131,1.0,160,1.2,22,0.2,3447,26.4,7140,54.7,479,4,51.5,7624,61.5
48065,Texas,Carson,34,32,36,3.7,4.5,7.9,26,59,721,15,,,,1,17,5854:1,1,17,5854:1,3880,4120,94,1051,1399,75,122,2930,4.2,131453,31827,4.1,267,1388,19,11,18.6,4,4,0,1,730,12,326,5,9,9,10,34,539,16,66597,55750,77444,,,,72659,76166,1964,84,75,3,5854,23.0,20.9,64,1.1,102,1.7,37,0.6,4,0.1,603,10.3,4967,84.8,24,0,50.1,5885,95.2
48067,Texas,Cass,37,35,38,4.7,5.3,6.7,32,27,3849,17,7,23,4289:1,9,30,3320:1,10,33,2988:1,18216,20960,87,2883,6164,47,970,12269,7.9,91435,19780,4.6,1885,6707,28,57,19.0,13,9,4,1,5270,18,2282,7,12,11,13,38,3206,19,50595,45480,55710,,,29076,,51368,9534,80,1016,9,29879,22.2,23.2,4924,16.5,242,0.8,177,0.6,17,0.1,1534,5.1,22666,75.9,122,0,51.6,22547,74.0
48069,Texas,Castro,39,38,40,4.3,4.3,8.1,35,45,1816,29,1,13,7530:1,,,,1,14,7396:1,3517,4663,75,880,1861,47,120,3320,3.6,92103,22378,4.1,473,2190,22,7,9.3,11,6,5,1,900,12,361,4,14,13,15,37,1405,34,55139,45414,64864,,50000,,44515,64394,1494,58,250,11,7396,28.6,17.4,136,1.8,169,2.3,57,0.8,1,0.0,4846,65.5,2280,30.8,623,9,48.6,3689,45.8
48071,Texas,Chambers,37,35,38,3.9,4.4,7.9,29,65,6126,16,5,11,8767:1,2,4,22795:1,11,24,4145:1,24212,26978,90,8468,11606,73,1892,19836,9.5,170787,29365,5.8,1811,12009,15,21,4.8,15,12,2,1,5300,13,1451,4,11,10,12,37,4683,18,89991,74866,105116,,,62730,60789,102178,12245,86,1786,13,45590,28.2,11.8,3490,7.7,492,1.1,648,1.4,64,0.1,11393,25.0,29419,64.5,944,2,49.6,16046,45.7
48073,Texas,Cherokee,37,36,39,4.7,4.9,6.6,35,54,9042,22,22,42,2393:1,17,32,3110:1,51,96,1037:1,27707,34260,81,5638,12436,45,1679,21303,7.9,103155,22990,4.5,3396,13246,26,46,8.7,17,10,7,1,7840,15,6499,13,13,13,14,39,7329,27,45894,39436,52352,,46464,31203,45156,57159,13345,72,1658,10,52875,25.2,18.1,7303,13.8,910,1.7,326,0.6,44,0.1,12710,24.0,31569,59.7,2440,5,48.9,32057,63.0
48075,Texas,Childress,38,37,39,4.5,4.5,5.8,33,73,1027,23,10,137,731:1,3,42,2381:1,7,98,1020:1,4417,5246,84,1285,2806,46,114,3054,3.7,96469,23930,4.0,494,1348,37,8,10.9,11,11,0,0,1170,16,1334,19,13,12,14,38,823,27,45473,37906,53040,,,,31131,52296,1365,59,276,13,7143,18.5,15.7,746,10.4,72,1.0,58,0.8,4,0.1,2251,31.5,3947,55.3,147,2,39.0,2334,33.1
48077,Texas,Clay,34,32,35,4.0,4.8,5.8,27,9,1498,19,4,38,2618:1,,,,1,9,10550:1,6935,7626,91,1346,2198,61,265,4793,5.5,113730,24436,4.7,501,2104,24,13,12.4,11,8,3,0,1610,16,2212,21,10,9,10,36,1208,20,62763,52672,72854,,,,,,3385,81,346,9,10550,19.4,24.1,94,0.9,145,1.4,80,0.8,1,0.0,723,6.9,9351,88.6,154,2,50.0,8021,74.6
48079,Texas,Cochran,42,41,43,5.3,4.9,6.6,41,1,663,29,2,70,1427:1,0,0,2897:0,,,,1319,1880,70,287,764,38,79,1114,7.1,88900,13985,6.4,143,741,19,4,14.0,13,5,6,4,490,17,288,9,17,16,18,38,528,33,44584,36493,52675,,,9929,42656,46875,738,72,84,9,2897,26.9,16.3,92,3.2,92,3.2,19,0.7,7,0.2,1759,60.7,986,34.0,300,11,49.6,3127,100.0
48081,Texas,Coke,36,35,38,4.3,4.7,4.2,31,33,470,19,,,,0,0,3323:0,,,,2062,2479,83,358,695,52,76,1374,5.5,91324,20179,4.5,188,661,28,5,14.8,9,7,2,1,510,16,1198,36,12,11,12,36,358,21,51050,42281,59819,,,,39091,46995,1085,67,33,2,3323,20.6,26.3,25,0.8,90,2.7,5,0.2,1,0.0,763,23.0,2442,73.5,60,2,50.7,3320,100.0
48083,Texas,Coleman,36,35,38,4.2,4.7,6.7,30,61,1541,26,5,61,1635:1,2,25,4050:1,1,12,8100:1,5211,6026,86,700,1631,43,213,2886,7.4,85763,21319,4.0,219,1796,12,19,23.2,11,10,1,1,1340,16,908,10,11,11,12,37,1250,28,43623,36496,50750,,,47188,53800,46286,2623,75,297,9,8100,20.6,26.3,211,2.6,106,1.3,93,1.1,3,0.0,1490,18.4,6153,76.0,208,3,49.8,4585,51.5
48085,Texas,Collin,30,29,31,3.0,3.7,8.4,23,94,114952,12,1044,101,991:1,729,68,1471:1,1474,137,727:1,621900,662273,94,234605,288629,81,36006,570623,6.3,181444,45985,3.9,41029,261112,16,678,6.6,13,11,2,1,107700,11,22214,3,9,9,10,35,93122,14,101560,97271,105849,100366,120842,72263,71944,106816,229049,65,39260,11,1072069,25.3,11.4,115591,10.8,7576,0.7,183227,17.1,1125,0.1,167450,15.6,576599,53.8,36286,4,50.7,41016,5.2
48087,Texas,Collingsworth,38,37,40,4.6,4.8,7.6,34,82,751,32,1,34,2920:1,0,0,2877:0,1,35,2877:1,1437,1909,75,359,662,54,46,1081,4.3,83250,14621,5.7,191,747,26,4,13.7,15,12,4,1,460,15,87,3,13,12,14,37,589,36,47885,40886,54884,,,,41458,60972,773,75,87,9,2877,25.9,19.4,147,5.1,89,3.1,15,0.5,0,0.0,997,34.7,1643,57.1,120,4,51.3,3057,100.0
48089,Texas,Colorado,37,36,38,4.2,4.5,7.8,32,59,4092,25,10,47,2149:1,5,23,4322:1,5,23,4322:1,12131,14387,84,2184,4329,50,538,9693,5.6,107279,23231,4.6,1024,5030,20,27,12.6,11,4,7,1,2480,12,1521,7,12,12,13,37,3228,28,52726,44428,61024,,14118,32348,43799,60122,6222,84,350,5,21610,23.5,22.7,2497,11.6,242,1.1,161,0.7,16,0.1,6751,31.2,11876,55.0,869,4,50.0,13070,62.6
48091,Texas,Comal,33,32,34,3.4,4.0,8.0,26,86,19100,15,104,67,1502:1,114,69,1446:1,243,147,678:1,97394,103971,94,23816,34960,68,4639,74950,6.2,154131,36791,4.2,5123,33533,15,156,10.0,13,10,2,2,17230,12,4851,4,10,9,11,33,15158,16,79290,68381,90199,88750,88919,94250,57375,86163,40865,75,6063,11,164812,22.2,18.7,4229,2.6,1427,0.9,2391,1.5,215,0.1,46725,28.4,108703,66.0,2547,2,50.6,50055,46.1
48093,Texas,Comanche,36,34,37,4.0,4.5,7.3,30,,2462,24,7,51,1948:1,4,29,3438:1,6,44,2292:1,8321,9707,86,1440,2978,48,309,5618,5.5,95939,21292,4.5,672,3026,22,13,9.5,12,8,3,2,1910,14,1109,8,11,11,12,36,1969,27,47282,38627,55937,73713,53625,,57227,53204,4446,82,346,7,13750,22.3,24.1,65,0.5,190,1.4,86,0.6,6,0.0,3975,28.9,9402,68.4,311,2,49.9,9986,71.5
48095,Texas,Concho,37,36,39,4.6,4.6,7.1,35,70,442,22,1,37,2726:1,1,35,2827:1,1,35,2827:1,1653,2389,69,216,805,27,59,1320,4.5,102250,23800,4.3,167,529,32,0,0.0,13,9,0,4,420,13,492,12,13,13,14,37,366,24,47412,38697,56127,,,,,,713,81,62,8,2827,18.0,27.0,40,1.4,31,1.1,57,2.0,1,0.0,976,34.5,1704,60.3,501,17,46.0,4087,100.0
48097,Texas,Cooke,36,34,37,4.1,4.7,7.7,29,42,7232,22,12,29,3438:1,17,41,2435:1,25,60,1656:1,24019,27484,87,5278,9392,56,1369,19370,7.1,120960,30338,4.0,2195,9490,23,40,9.7,12,7,4,1,5880,15,1040,3,11,10,11,36,5830,25,66323,56945,75701,,35239,,47237,66906,10869,70,1056,7,41393,23.5,19.2,1348,3.3,645,1.6,438,1.1,25,0.1,7819,18.9,30788,74.4,1318,3,50.4,22691,59.0
48099,Texas,Coryell,39,38,40,4.3,4.8,5.1,31,61,8941,16,14,18,5425:1,25,33,3069:1,46,60,1668:1,42492,47848,89,15731,25070,63,1573,23974,6.6,98991,26324,3.8,3908,17163,23,52,6.8,13,10,2,0,12230,16,19277,26,12,12,13,40,7566,19,58398,53874,62922,67232,57659,53068,45276,56544,13590,61,2066,10,76737,22.3,10.8,12730,16.6,938,1.2,1799,2.3,737,1.0,15024,19.6,43493,56.7,858,1,50.0,14643,19.4
