FIPS,State,County,Len_Life_Rank,perc_Adults_Obesity,95_Cl_low_obs,95_Cl_high_obs,Avg_num_Physical_Unhealthy_Days,Avg_num_Mental_Unhealthy_Days,Food_Environment_Index,perc_Physically_Inactive,perc_With_Access_Exercise,num_Uninsured,perc_Uninsured,num_Primary_Care_Physicians,Primary_Care_Physicians_Rate,Primary_Care_Physicians_Ratio,num_Dentists,Dentist_Rate,Dentist_Ratio,num_Mental_Health_Providers,Mental_Health_Provider_Rate,Mental_Health_Provider_Ratio,num_Completed_High_School,Population_Age25,perc_Completed_HighSchool,num_Some_College,Population_25_Age_44,perc_Some_college,num_UnemployedAge16,LaborForce_Size,perc_Unemployed,80th_Percentile_Income,20th_Percentile_Income,Income_Ratio,num_Children_SingleParent_Households,num_Children_Overall_Households,perc_Children_SingleParent_Households,num_Associations,Social_Association_Rate,perc_Severe_Housing_Problems,Severe_Housing_Cost_Burdenperc,Overcrowdingperc,Inadequate_Facilitiesperc,num_Food_Insecure,perc_Food_Insecure,num_LimitedAccess_healthyFood,perc_LimitedAccess_HealthyFoods,perc_Adults_Diabetes,95_CI_Low_Adults_Diabetes,95_CI_High_Adults_Diabetes,perc_Insufficient_Sleep,num_Uninsured,perc_Uninsured,Median_Household_Income,95_CI_Low_Median_Household_Income,95_CI_High_Median_Household_Income,Household_Income_NativeAmerican,Household_Income_Asian,Household_Income_Black,Household_Income_Hispanic,Household_Income_white,num_Homeowners,perc_Homeowners,num_Household_Severe_Cost_Burden,perc_Severe_Housing_Cost_Burden,Population,perc_greater18Age,perc65greaterAge,numBlack,percBlack,numNativeAmerican,percNativeAmerican,numAsian,percAsian,numNativeHawaiianPacificIslander,percNativeHawaiianPacificIslander,numHispanic,percHispanic, numNonHispanic_white,percNonHispanic_white,numNotProficient_English,percNotProficient_English,percfemale,numrural_residents,percrural,Qual_Life_Rank,Health_Beh_Rank,Clinical_Care_Rank,Social_Econ_Rank,Phys_Env_Rank
48063,Texas,Camp,188,39,38,40,4.3,4.7,7.2,32,35,2279,22,11,84,1190:01:00,5,38,2612:01:00,5,38,2612:01:00,7409,8446,88,1741,2862,61,369,5008,7.4,91130,16267,5.6,1014,3395,30,12,9.2,18,13,5,2,2080,16,613,5,13,12,13,38,1813,25,43130,35970,50290,,,26250,59750,55084,3208,72,637,15,13060,26,19.6,2013,15.4,131,1,160,1.2,22,0.2,3447,26.4,7140,54.7,479,4,51.5,7624,61.5,52,152,102,153,118
48065,Texas,Carson,191,34,32,36,3.7,4.5,7.9,26,59,721,15,,,,1,17,5854:01:00,1,17,5854:01:00,3880,4120,94,1051,1399,75,122,2930,4.2,131453,31827,4.1,267,1388,19,11,18.6,4,4,0,1,730,12,326,5,9,9,10,34,539,16,66597,55750,77444,,,,72659,76166,1964,84,75,3,5854,23,20.9,64,1.1,102,1.7,37,0.6,4,0.1,603,10.3,4967,84.8,24,0,50.1,5885,95.2,6,30,57,7,7
48067,Texas,Cass,201,37,35,38,4.7,5.3,6.7,32,27,3849,17,7,23,4289:01:00,9,30,3320:01:00,10,33,2988:01:00,18216,20960,87,2883,6164,47,970,12269,7.9,91435,19780,4.6,1885,6707,28,57,19,13,9,4,1,5270,18,2282,7,12,11,13,38,3206,19,50595,45480,55710,,,29076,,51368,9534,80,1016,9,29879,22.2,23.2,4924,16.5,242,0.8,177,0.6,17,0.1,1534,5.1,22666,75.9,122,0,51.6,22547,74,205,216,83,166,224
48069,Texas,Castro,151,39,38,40,4.3,4.3,8.1,35,45,1816,29,1,13,7530:01:00,,,,1,14,7396:01:00,3517,4663,75,880,1861,47,120,3320,3.6,92103,22378,4.1,473,2190,22,7,9.3,11,6,5,1,900,12,361,4,14,13,15,37,1405,34,55139,45414,64864,,50000,,44515,64394,1494,58,250,11,7396,28.6,17.4,136,1.8,169,2.3,57,0.8,1,0,4846,65.5,2280,30.8,623,9,48.6,3689,45.8,94,73,219,60,15
48071,Texas,Chambers,43,37,35,38,3.9,4.4,7.9,29,65,6126,16,5,11,8767:01:00,2,4,22795:1,11,24,4145:01:00,24212,26978,90,8468,11606,73,1892,19836,9.5,170787,29365,5.8,1811,12009,15,21,4.8,15,12,2,1,5300,13,1451,4,11,10,12,37,4683,18,89991,74866,105116,,,62730,60789,102178,12245,86,1786,13,45590,28.2,11.8,3490,7.7,492,1.1,648,1.4,64,0.1,11393,25,29419,64.5,944,2,49.6,16046,45.7,41,36,224,87,237
48073,Texas,Cherokee,175,37,36,39,4.7,4.9,6.6,35,54,9042,22,22,42,2393:01:00,17,32,3110:01:00,51,96,1037:01:00,27707,34260,81,5638,12436,45,1679,21303,7.9,103155,22990,4.5,3396,13246,26,46,8.7,17,10,7,1,7840,15,6499,13,13,13,14,39,7329,27,45894,39436,52352,,46464,31203,45156,57159,13345,72,1658,10,52875,25.2,18.1,7303,13.8,910,1.7,326,0.6,44,0.1,12710,24,31569,59.7,2440,5,48.9,32057,63,165,191,87,191,186
48075,Texas,Childress,141,38,37,39,4.5,4.5,5.8,33,73,1027,23,10,137,731:01:00,3,42,2381:01:00,7,98,1020:01:00,4417,5246,84,1285,2806,46,114,3054,3.7,96469,23930,4,494,1348,37,8,10.9,11,11,0,0,1170,16,1334,19,13,12,14,38,823,27,45473,37906,53040,,,,31131,52296,1365,59,276,13,7143,18.5,15.7,746,10.4,72,1,58,0.8,4,0.1,2251,31.5,3947,55.3,147,2,39,2334,33.1,162,176,137,104,16
48077,Texas,Clay,85,34,32,35,4,4.8,5.8,27,9,1498,19,4,38,2618:01:00,,,,1,9,10550:1,6935,7626,91,1346,2198,61,265,4793,5.5,113730,24436,4.7,501,2104,24,13,12.4,11,8,3,0,1610,16,2212,21,10,9,10,36,1208,20,62763,52672,72854,,,,,,3385,81,346,9,10550,19.4,24.1,94,0.9,145,1.4,80,0.8,1,0,723,6.9,9351,88.6,154,2,50,8021,74.6,11,99,82,36,140
48079,Texas,Cochran,102,42,41,43,5.3,4.9,6.6,41,1,663,29,2,70,1427:01:00,0,0,2897:00:00,,,,1319,1880,70,287,764,38,79,1114,7.1,88900,13985,6.4,143,741,19,4,14,13,5,6,4,490,17,288,9,17,16,18,38,528,33,44584,36493,52675,,,9929,42656,46875,738,72,84,9,2897,26.9,16.3,92,3.2,92,3.2,19,0.7,7,0.2,1759,60.7,986,34,300,11,49.6,3127,100,192,192,114,220,51
48081,Texas,Coke,102,36,35,38,4.3,4.7,4.2,31,33,470,19,,,,0,0,3323:00:00,,,,2062,2479,83,358,695,52,76,1374,5.5,91324,20179,4.5,188,661,28,5,14.8,9,7,2,1,510,16,1198,36,12,11,12,36,358,21,51050,42281,59819,,,,39091,46995,1085,67,33,2,3323,20.6,26.3,25,0.8,90,2.7,5,0.2,1,0,763,23,2442,73.5,60,2,50.7,3320,100,59,105,61,69,44
48083,Texas,Coleman,238,36,35,38,4.2,4.7,6.7,30,61,1541,26,5,61,1635:01:00,2,25,4050:01:00,1,12,8100:01:00,5211,6026,86,700,1631,43,213,2886,7.4,85763,21319,4,219,1796,12,19,23.2,11,10,1,1,1340,16,908,10,11,11,12,37,1250,28,43623,36496,50750,,,47188,53800,46286,2623,75,297,9,8100,20.6,26.3,211,2.6,106,1.3,93,1.1,3,0,1490,18.4,6153,76,208,3,49.8,4585,51.5,186,127,236,123,60
48085,Texas,Collin,1,30,29,31,3,3.7,8.4,23,94,114952,12,1044,101,991:01:00,729,68,1471:01:00,1474,137,727:01:00,621900,662273,94,234605,288629,81,36006,570623,6.3,181444,45985,3.9,41029,261112,16,678,6.6,13,11,2,1,107700,11,22214,3,9,9,10,35,93122,14,101560,97271,105849,100366,120842,72263,71944,106816,229049,65,39260,11,1072069,25.3,11.4,115591,10.8,7576,0.7,183227,17.1,1125,0.1,167450,15.6,576599,53.8,36286,4,50.7,41016,5.2,1,2,1,5,107
48087,Texas,Collingsworth,102,38,37,40,4.6,4.8,7.6,34,82,751,32,1,34,2920:01:00,0,0,2877:00:00,1,35,2877:01:00,1437,1909,75,359,662,54,46,1081,4.3,83250,14621,5.7,191,747,26,4,13.7,15,12,4,1,460,15,87,3,13,12,14,37,589,36,47885,40886,54884,,,,41458,60972,773,75,87,9,2877,25.9,19.4,147,5.1,89,3.1,15,0.5,0,0,997,34.7,1643,57.1,120,4,51.3,3057,100,152,114,244,142,67
48089,Texas,Colorado,139,37,36,38,4.2,4.5,7.8,32,59,4092,25,10,47,2149:01:00,5,23,4322:01:00,5,23,4322:01:00,12131,14387,84,2184,4329,50,538,9693,5.6,107279,23231,4.6,1024,5030,20,27,12.6,11,4,7,1,2480,12,1521,7,12,12,13,37,3228,28,52726,44428,61024,,14118,32348,43799,60122,6222,84,350,5,21610,23.5,22.7,2497,11.6,242,1.1,161,0.7,16,0.1,6751,31.2,11876,55,869,4,50,13070,62.6,107,63,177,64,88
48091,Texas,Comal,19,33,32,34,3.4,4,8,26,86,19100,15,104,67,1502:01:00,114,69,1446:01:00,243,147,678:01:00,97394,103971,94,23816,34960,68,4639,74950,6.2,154131,36791,4.2,5123,33533,15,156,10,13,10,2,2,17230,12,4851,4,10,9,11,33,15158,16,79290,68381,90199,88750,88919,94250,57375,86163,40865,75,6063,11,164812,22.2,18.7,4229,2.6,1427,0.9,2391,1.5,215,0.1,46725,28.4,108703,66,2547,2,50.6,50055,46.1,13,8,11,12,110
48093,Texas,Comanche,144,36,34,37,4,4.5,7.3,30,,2462,24,7,51,1948:01:00,4,29,3438:01:00,6,44,2292:01:00,8321,9707,86,1440,2978,48,309,5618,5.5,95939,21292,4.5,672,3026,22,13,9.5,12,8,3,2,1910,14,1109,8,11,11,12,36,1969,27,47282,38627,55937,73713,53625,,57227,53204,4446,82,346,7,13750,22.3,24.1,65,0.5,190,1.4,86,0.6,6,0,3975,28.9,9402,68.4,311,2,49.9,9986,71.5,36,47,183,120,145
48095,Texas,Concho,102,37,36,39,4.6,4.6,7.1,35,70,442,22,1,37,2726:01:00,1,35,2827:01:00,1,35,2827:01:00,1653,2389,69,216,805,27,59,1320,4.5,102250,23800,4.3,167,529,32,0,0,13,9,0,4,420,13,492,12,13,13,14,37,366,24,47412,38697,56127,,,,,,713,81,62,8,2827,18,27,40,1.4,31,1.1,57,2,1,0,976,34.5,1704,60.3,501,17,46,4087,100,147,93,166,177,131
48097,Texas,Cooke,89,36,34,37,4.1,4.7,7.7,29,42,7232,22,12,29,3438:01:00,17,41,2435:01:00,25,60,1656:01:00,24019,27484,87,5278,9392,56,1369,19370,7.1,120960,30338,4,2195,9490,23,40,9.7,12,7,4,1,5880,15,1040,3,11,10,11,36,5830,25,66323,56945,75701,,35239,,47237,66906,10869,70,1056,7,41393,23.5,19.2,1348,3.3,645,1.6,438,1.1,25,0.1,7819,18.9,30788,74.4,1318,3,50.4,22691,59,28,75,101,81,69
48099,Texas,Coryell,36,39,38,40,4.3,4.8,5.1,31,61,8941,16,14,18,5425:01:00,25,33,3069:01:00,46,60,1668:01:00,42492,47848,89,15731,25070,63,1573,23974,6.6,98991,26324,3.8,3908,17163,23,52,6.8,13,10,2,0,12230,16,19277,26,12,12,13,40,7566,19,58398,53874,62922,67232,57659,53068,45276,56544,13590,61,2066,10,76737,22.3,10.8,12730,16.6,938,1.2,1799,2.3,737,1,15024,19.6,43493,56.7,858,1,50,14643,19.4,145,218,66,46,121
48101,Texas,Cottle,102,40,39,42,5.2,5.2,0.6,37,83,226,22,0,0,1398:00:00,0,0,1363:00:00,,,,864,1066,81,223,378,59,28,570,4.9,77167,15041,5.1,160,460,35,3,21.5,9,7,4,0,380,23,856,57,15,14,16,39,178,24,44430,36342,52518,,,,,,438,62,44,7,1363,21.8,25.8,133,9.8,7,0.5,2,0.1,1,0.1,344,25.2,859,63,17,1,51.6,1505,100,214,223,191,124,2
48103,Texas,Crane,32,38,36,40,4.1,4.2,8.9,34,92,850,20,1,21,4797:01:00,1,21,4765:01:00,,,,2195,2856,77,499,1258,40,221,1624,13.6,113617,22051,5.2,169,1483,11,5,10.4,14,6,6,2,400,8,171,4,14,13,15,36,640,23,67547,54568,80526,,,,52500,72708,1329,89,81,6,4765,28.6,12.4,125,2.6,84,1.8,55,1.2,13,0.3,3147,66,1387,29.1,430,10,49.4,468,10.7,116,35,229,213,79
48105,Texas,Crockett,242,38,37,40,4.1,4.2,8.2,34,91,593,21,1,29,3464:01:00,1,28,3513:01:00,,,,1943,2471,79,303,896,34,138,1559,8.9,81086,21368,3.8,206,792,26,5,14.4,14,9,6,0,430,12,84,2,14,13,15,36,468,24,54458,44423,64493,,,,42692,46970,923,66,149,12,3513,25.3,19.1,25,0.7,95,2.7,37,1.1,3,0.1,2346,66.8,1063,30.3,129,4,49.9,846,22.7,121,60,172,176,61
48107,Texas,Crosby,216,41,40,43,4.9,4.7,7.4,39,21,983,21,2,35,2869:01:00,,,,,,,2854,3746,76,616,1396,44,124,2389,5.2,81664,19207,4.3,528,1499,35,9,15.7,15,7,7,0,970,17,141,2,16,15,17,38,798,25,42804,35476,50132,,,35417,34836,56591,1530,73,145,7,5567,25.6,19,153,2.7,73,1.3,21,0.4,4,0.1,3167,56.9,2158,38.8,146,3,50.2,6059,100,217,169,51,165,43
48109,Texas,Culberson,102,44,42,45,5.5,4.9,6.7,44,93,405,24,1,46,2171:01:00,0,0,2149:00:00,,,,926,1416,65,258,513,50,75,1150,6.5,77545,16370,4.7,315,591,53,0,0,15,10,6,0,420,19,102,4,19,18,20,39,325,27,47479,38579,56379,,,,29315,55734,442,66,48,8,2149,22.8,21.4,27,1.3,55,2.6,48,2.2,1,0,1574,73.2,468,21.8,169,9,50,2398,100,216,231,240,226,73
48111,Texas,Dallam,240,37,36,39,4.3,4.5,6.6,33,80,2143,34,5,69,1457:01:00,2,27,3637:01:00,3,41,2424:01:00,3007,4415,68,1001,1871,54,105,3750,2.8,90400,30518,3,179,2358,8,10,13.7,10,7,3,2,940,13,1179,18,13,12,14,37,1535,38,55253,45957,64549,,,,39644,63565,1795,77,101,5,7273,32.7,12,141,1.9,173,2.4,109,1.5,10,0.1,3438,47.3,3501,48.1,961,15,47.6,1578,23.5,45,111,226,54,28
48113,Texas,Dallas,35,33,32,34,4.1,4.3,7.4,32,96,576926,25,1863,71,1415:01:00,2321,88,1136:01:00,4503,171,585:01:00,1355206,1686671,80,478977,794464,60,103841,1355033,7.7,123520,27949,4.4,211418,684220,31,1981,7.5,21,15,7,1,364840,14,171370,7,14,13,15,37,476402,29,65770,63881,67659,55615,85356,46623,52635,84062,476375,50,139445,15,2635888,25.6,11.4,601084,22.8,29349,1.1,182776,6.9,2906,0.1,1075954,40.8,734430,27.9,259163,11,50.7,16300,0.7,83,31,40,143,164
48115,Texas,Dawson,231,43,41,44,5.2,4.8,5.4,40,61,2193,23,5,39,2546:01:00,6,46,2162:01:00,1,8,12974:1,5796,8098,72,1388,3537,39,398,4558,8.7,92303,17050,5.4,1271,3318,38,19,14.9,16,11,3,2,2370,19,2599,19,17,16,18,39,1784,28,47233,38632,55834,57143,,19313,32952,52500,3102,70,555,13,12974,25.5,14.7,724,5.6,166,1.3,131,1,17,0.1,7605,58.6,4385,33.8,441,4,44.6,2254,16.3,241,229,207,221,100
48117,Texas,Deaf Smith,74,40,38,42,4.6,4.4,7.6,37,75,4144,26,2,11,9273:01:00,6,33,3046:01:00,1,5,18277:1,7967,10956,73,1980,4659,42,310,8567,3.6,97473,26807,3.6,1221,5789,21,18,9.7,13,8,4,2,2380,13,1440,7,15,14,16,36,3385,33,51412,42223,60601,,127727,56250,46206,61442,3962,65,449,8,18277,31,13.3,199,1.1,334,1.8,108,0.6,14,0.1,13751,75.2,4072,22.3,1685,10,50,3431,17.7,90,108,152,100,23
48119,Texas,Delta,215,36,35,38,4.2,4.9,7.1,29,59,778,19,1,19,5331:01:00,,,,3,56,1783:01:00,3151,3605,87,747,1081,69,133,2401,5.5,107295,20732,5.2,194,1220,16,5,9.4,14,12,2,0,950,18,104,2,11,10,12,37,625,21,50456,41584,59328,,,28036,91167,50112,1670,81,201,10,5349,23.1,21.6,359,6.7,136,2.5,35,0.7,3,0.1,474,8.9,4231,79.1,5,0,50.5,5231,100,44,161,122,44,174
48121,Texas,Denton,2,32,31,33,3.2,3.9,8.2,24,94,105507,13,479,54,1852:01:00,533,58,1725:01:00,1220,133,754:01:00,528191,569381,93,203087,260189,78,32666,503962,6.5,170790,41922,4.1,36980,211904,17,514,5.8,14,11,2,1,93820,11,31443,5,10,9,10,34,85040,15,90880,85615,96145,65871,119911,64692,69798,99573,196219,65,33142,11,919324,23.9,11,100574,10.9,7765,0.8,93060,10.1,1124,0.1,180550,19.6,521081,56.7,25198,3,50.8,45759,6.9,5,5,7,8,195
48123,Texas,DeWitt,142,38,36,39,4.5,4.6,7.7,35,72,2921,20,11,55,1833:01:00,5,25,4035:01:00,4,20,5044:01:00,11850,14309,83,2070,4854,43,558,9253,6,109548,19898,5.5,658,4541,14,34,16.9,13,9,5,1,3010,15,437,2,14,13,14,38,2324,23,53899,44592,63206,131477,,27500,55179,58042,4900,72,800,12,20174,22.5,20.3,1633,8.1,217,1.1,96,0.5,10,0,7325,36.3,10892,54,285,2,47.6,9973,49.6,155,150,115,159,109
48125,Texas,Dickens,102,39,38,40,4.6,4.6,6.7,34,64,299,22,1,45,2211:01:00,0,0,2140:00:00,1,47,2140:01:00,1301,1623,80,198,528,38,42,671,6.3,93250,14346,6.5,105,453,23,4,18.1,13,9,3,1,400,18,144,6,14,13,14,37,236,24,42034,34830,49238,,,,25833,49934,668,78,88,11,2140,17.1,24.2,96,4.5,49,2.3,28,1.3,2,0.1,660,30.8,1318,61.6,37,2,44.5,2444,100,237,180,111,205,5
48127,Texas,Dimmit,204,44,42,46,5.6,4.9,4.2,45,61,1676,20,4,40,2531:01:00,3,30,3308:01:00,4,40,2481:01:00,4377,6460,68,1269,2643,48,413,6487,6.4,83868,9970,8.4,1437,2911,49,7,6.9,19,11,8,1,2100,20,2666,27,20,18,21,38,1380,25,42788,34709,50867,,,,23455,53927,2227,70,589,20,9925,28.1,17.5,115,1.2,98,1,79,0.8,2,0,8730,88,981,9.9,636,7,51.3,3946,39.5,233,222,181,228,161
48129,Texas,Donley,102,36,35,38,4.3,4.9,7.2,30,74,476,21,,,,1,30,3308:01:00,,,,1974,2206,89,364,646,56,63,1423,4.4,94654,23986,3.9,215,667,32,6,18.3,13,11,2,0,520,16,203,6,11,11,12,37,376,23,57526,52697,62355,,,29643,44250,55061,980,73,142,11,3308,19.9,24.7,202,6.1,38,1.1,23,0.7,2,0.1,387,11.7,2602,78.7,24,1,51.5,3677,100,227,92,130,62,26
48131,Texas,Duval,229,43,41,44,4.9,4.5,6.1,40,,1857,22,,,,,,,1,9,11058:1,5027,7136,70,1258,2669,47,589,4864,12.1,87013,16871,5.2,1023,2871,36,4,3.6,20,8,7,5,1930,17,1639,14,18,17,19,38,1544,27,40601,33481,47721,,,,41702,58953,2359,69,206,7,11058,26,18.1,117,1.1,114,1,56,0.5,13,0.1,9869,89.2,975,8.8,591,6,48.6,7899,67,206,162,188,237,208
48133,Texas,Eastland,211,37,36,39,4.6,5,6.3,32,45,3274,24,5,27,3672:01:00,5,27,3678:01:00,7,38,2627:01:00,10697,12555,85,2360,3947,60,497,7390,6.7,86924,16186,5.4,615,3846,16,25,13.6,9,6,2,1,3260,18,2023,11,12,11,13,37,2710,28,50317,41888,58746,,,,34792,42150,5388,77,591,9,18388,21.1,22.5,365,2,240,1.3,138,0.8,16,0.1,3195,17.4,14329,77.9,527,3,50,11214,60.3,174,179,196,105,78
48135,Texas,Ector,200,38,37,40,4.2,4.3,7.9,35,77,32601,22,99,60,1679:01:00,73,44,2297:01:00,77,46,2178:01:00,74089,96782,77,25164,48308,52,9116,82852,11,123122,26767,4.6,13187,49059,27,124,7.5,16,10,5,2,18420,12,9847,7,14,13,15,37,25125,26,62669,53537,71801,60238,92727,47329,58139,73010,35106,65,6105,12,167701,30.5,9.7,7626,4.5,2559,1.5,2292,1.4,497,0.3,106292,63.4,49284,29.4,10228,7,48.9,12966,9.5,130,97,139,218,155
48137,Texas,Edwards,102,40,39,41,4.7,4.5,7.2,37,1,350,26,1,52,1932:01:00,0,0,1923:00:00,1,52,1923:01:00,1000,1301,77,203,398,51,44,1251,3.5,74556,21870,3.4,147,414,36,3,15.5,15,9,4,4,250,13,219,11,15,14,16,37,275,29,45330,36786,53874,,,,40675,40179,581,74,48,6,1923,22.3,29.3,9,0.5,51,2.7,19,1,0,0,1059,55.1,820,42.6,33,2,47.3,2002,100,119,67,162,112,89
48139,Texas,Ellis,21,36,35,37,3.8,4.3,7.9,28,67,30187,19,76,41,2432:01:00,65,34,2950:01:00,147,77,1304:01:00,100273,115775,87,29402,46934,63,5641,93578,6,138469,36427,3.8,8759,47736,18,158,8.5,13,10,4,1,20050,12,10974,7,11,10,11,35,24215,22,79849,75083,84615,68750,97917,65120,66622,88567,44454,75,5653,10,191760,26.4,13.3,24068,12.6,1691,0.9,1781,0.9,244,0.1,52482,27.4,109848,57.3,5884,4,50.6,47838,32,24,34,47,20,157
48141,Texas,El Paso,33,34,33,36,4.4,4.2,7.1,30,80,173169,24,419,50,2003:01:00,405,48,2077:01:00,909,108,926:01:00,405954,514164,79,154825,230108,67,30094,364085,8.3,96802,19350,5,68601,227046,30,421,5,18,13,5,1,121760,15,73081,9,15,14,16,37,148718,30,48522,45915,51129,45208,58581,54656,44100,66229,170433,62,36665,14,841286,26.5,12.8,26724,3.2,9160,1.1,11972,1.4,1957,0.2,696240,82.8,97545,11.6,106444,14,50.5,17409,2.2,125,10,140,158,184
48143,Texas,Erath,23,37,36,39,4.1,4.6,6.2,29,63,7823,24,24,56,1779:01:00,24,56,1801:01:00,46,106,940:01:00,21413,24555,87,6262,9627,65,1150,20013,5.7,111390,22474,5,1653,8677,19,47,11,19,16,3,1,6200,15,6864,18,11,11,12,36,6454,26,61453,53860,69046,,74063,,47057,56863,9261,65,2035,15,43224,20.9,14.8,785,1.8,607,1.4,498,1.2,53,0.1,9442,21.8,31730,73.4,1236,3,51.1,17551,46.3,40,87,56,31,119
48145,Texas,Falls,97,41,40,42,5,5.2,6.6,37,39,2573,21,2,12,8649:01:00,5,29,3455:01:00,3,17,5758:01:00,9447,12198,77,2002,4165,48,390,6531,6,84394,13825,6.1,902,3665,25,23,13.3,18,13,6,2,3310,19,919,5,15,14,15,39,2129,25,44590,36720,52460,,,23150,30372,50049,4197,76,707,14,17275,21.1,18.8,3959,22.9,203,1.2,104,0.6,41,0.2,4283,24.8,8630,50,409,3,52.6,12034,67.4,235,237,208,155,204
48147,Texas,Fannin,69,36,34,37,4.2,4.8,6.7,29,28,5675,21,7,20,5073:01:00,9,25,3990:01:00,36,100,998:01:00,21052,24604,86,4098,8639,47,788,16772,4.7,115224,24221,4.8,1226,7417,17,39,11,12,9,3,2,5100,15,4408,13,11,10,12,37,4653,24,59746,51740,67752,72344,63264,24643,49196,60773,9205,74,1186,10,35913,21.2,18.7,2219,6.2,459,1.3,287,0.8,29,0.1,4430,12.3,27974,77.9,492,1,46.9,23920,70.5,124,141,175,55,169
48149,Texas,Fayette,47,37,36,39,4.1,4.6,7.7,30,55,4008,22,8,32,3168:01:00,14,55,1825:01:00,7,27,3650:01:00,16458,18468,89,2467,5046,49,555,11793,4.7,109719,25094,4.4,740,5083,15,50,19.7,11,8,2,1,3350,13,1374,6,11,10,12,36,3175,23,63713,55201,72225,,223450,13382,56600,65110,7537,83,762,9,25547,20.2,26.8,1485,5.8,327,1.3,119,0.5,19,0.1,5624,22,18023,70.5,478,2,50.9,16485,67.1,73,50,54,24,166
48151,Texas,Fisher,102,38,36,39,4.2,4.6,7.4,31,,555,19,1,26,3830:01:00,1,26,3784:01:00,,,,2430,2732,89,575,865,66,72,1605,4.5,104111,23931,4.4,188,820,23,8,20.9,9,5,2,2,600,16,146,4,12,12,13,36,422,21,52828,47812,57844,22778,,,41371,55505,1263,75,78,5,3784,21.4,24.7,136,3.6,45,1.2,20,0.5,0,0,1113,29.4,2454,64.9,54,2,49.9,3974,100,221,119,146,22,25
48153,Texas,Floyd,206,39,38,40,4.5,4.4,7.9,36,75,1191,26,3,53,1904:01:00,1,18,5672:01:00,,,,2843,3783,75,707,1391,51,155,2516,6.2,93014,20651,4.5,370,1554,24,11,19.3,15,8,7,2,760,13,289,4,14,13,15,37,967,31,44256,36258,52254,,,,44715,66172,1631,75,97,5,5672,25.8,20,177,3.1,85,1.5,28,0.5,3,0.1,3348,59,2068,36.5,267,5,49.8,3437,53.3,179,51,197,163,56
48155,Texas,Foard,102,37,36,39,4.4,4.9,3.9,31,0,191,23,0,0,1155:00:00,0,0,1135:00:00,,,,719,885,81,83,155,54,24,576,4.2,90611,20929,4.3,38,215,18,0,0,7,3,1,3,180,14,552,41,12,11,13,37,148,24,40955,33319,48591,,,,,,420,83,29,6,1135,18.8,27.8,59,5.2,8,0.7,12,1.1,0,0,207,18.2,843,74.3,17,1,53,1336,100,141,159,233,140,39
48157,Texas,Fort Bend,4,30,29,31,3.1,3.6,8.4,26,90,107300,15,688,85,1180:01:00,466,55,1802:01:00,695,83,1208:01:00,461452,508472,91,165976,216616,77,30538,394948,7.7,179564,45085,4,36833,217180,17,379,4.7,14,11,3,1,72370,10,34618,6,11,11,12,35,86838,18,97210,88038,106382,128042,120642,80267,75207,119337,192555,78,27858,11,839706,27.1,12,173816,20.7,5167,0.6,180564,21.5,838,0.1,210223,25,259942,31,37367,5,51,32405,5.5,12,1,15,16,148
48159,Texas,Franklin,167,33,32,35,3.7,4.4,6,26,20,1434,17,3,28,3575:01:00,4,37,2705:01:00,4,37,2705:01:00,6719,7419,91,1611,2313,70,257,4827,5.3,124489,31696,3.9,244,2569,9,13,12.1,14,10,3,2,1520,14,2204,21,10,9,11,35,1105,19,58927,54672,63182,,,,58577,60725,3285,83,233,6,10821,23,22.1,425,3.9,132,1.2,112,1,8,0.1,1700,15.7,8350,77.2,223,2,50.3,7331,69.1,9,22,37,21,83
48161,Texas,Freestone,218,38,37,40,4.6,4.9,6.6,33,29,2962,21,6,30,3286:01:00,6,30,3312:01:00,3,15,6625:01:00,11360,13894,82,2815,5129,55,528,6348,8.3,113428,20667,5.5,986,4469,22,22,11.2,13,9,3,2,3430,17,1727,9,13,12,13,38,2355,24,54502,45454,63550,,,32321,52794,62851,5208,77,608,10,19874,22.6,20.8,2959,14.9,283,1.4,187,0.9,13,0.1,3286,16.5,13154,66.2,431,2,47.9,13173,66.5,132,173,163,133,136
48163,Texas,Frio,150,42,40,43,4.9,4.4,6.7,40,86,3265,23,4,20,5077:01:00,5,25,4076:01:00,5,25,4076:01:00,8124,12515,65,1959,6243,31,541,9537,5.7,97353,15207,6.4,1661,4037,41,11,5.4,16,9,8,0,3000,15,2007,12,17,16,18,38,2724,28,47007,39710,54304,,52757,,47821,63056,3123,67,395,10,20379,22.7,12.4,641,3.1,218,1.1,569,2.8,5,0,16356,80.3,2743,13.5,2354,13,40.4,3819,22.2,218,181,165,224,94
48165,Texas,Gaines,37,38,37,39,4.7,4.8,8.2,36,45,6949,36,2,9,10746:1,2,9,10998:1,2,9,10998:1,7003,11335,62,1491,5246,28,543,9720,5.6,123952,22966,5.4,1253,7539,17,28,13,14,8,6,1,2720,13,241,1,14,13,15,37,4764,40,63528,52540,74516,,,,44974,70897,4248,72,407,8,21996,36.4,8.8,352,1.6,240,1.1,112,0.5,8,0,9451,43,11880,54,1473,8,49.3,11049,63,64,134,241,172,58
